,Title,Published_date,Views,Likes,Favourite,Comments,Month
0,Introduction to Transformers | Transformers Part 1,2024-01-28,4612,433,0,74,Jan
1,How to Overcome the Fear of Maths in Data Science? | Maths Roadmap for Machine Learning,2024-01-23,11696,742,0,93,Jan
2,Bahdanau Attention Vs Luong Attention,2024-01-17,6143,239,0,57,Jan
3,What is MLOps? | MLOps Explained in Hindi | End to End Explanation with Example,2024-01-11,12711,912,0,117,Jan
4,Why Should You Learn MLOps in 2024? | Software Systems Vs ML Systems | MLOPs Roadmap,2023-12-31,24218,1356,0,145,Dec
5,Data Science Roadmap for 2024 | 5 Levels | End-to-End Data Science Roadmap,2023-12-27,32320,1737,0,138,Dec
6,Attention Mechanism in 1 video | Seq2Seq Networks | Encoder Decoder Architecture,2023-12-21,7724,369,0,89,Dec
7,DBSCAN Clustering Algorithms | Density Based Clustering | How DBSCAN Works | CampusX,2023-12-17,5453,240,0,45,Dec
8,Encoder Decoder | Sequence-to-Sequence Architecture | Deep Learning | CampusX,2023-12-10,10271,479,0,80,Dec
9,Top 3 MLOps Resources #mlops #machinelearning #deeplearning,2023-12-06,25048,3153,0,26,Dec
10,Why you should read Research Papers in ML & DL? #machinelearning #deeplearning,2023-12-04,16978,1993,0,47,Dec
11,The Maths Behind XGBoost | Machine Learning | CampusX,2023-12-02,4852,209,0,32,Dec
12,The Epic History of Large Language Models (LLMs) | From LSTMs to ChatGPT | CampusX,2023-11-22,24375,1264,0,208,Nov
13,XGBoost For Classification | How XGBoost works on Classification Problems | CampusX,2023-11-12,5184,187,0,31,Nov
14,DSMP 2.0 Doubt Clearing Session | YouTube Live | Register Now,2023-11-07,9309,374,0,53,Nov
15,CampusX Data Science Mentorship Program 2.0 | Course Launch | Register Now!,2023-11-04,27656,1076,0,225,Nov
16,My Favorite Data Science Resources | My most used resources to learn Data Science | CampusX,2023-10-30,52139,2848,0,141,Oct
17,Bidirectional RNN | BiLSTM | Bidirectional LSTM | Bidirectional GRU,2023-10-27,6515,323,0,51,Oct
18,XGBoost for Regression | XGBoost Part 2 | CampusX,2023-10-24,5735,244,0,32,Oct
19,Deep RNNs | Stacked RNNs | Stacked LSTMs | Stacked GRUs | CampusX,2023-10-18,5754,296,0,40,Oct
20,Introduction to XGBOOST | Machine Learning | CampusX,2023-10-14,17265,640,0,56,Oct
21,Gated Recurrent Unit | Deep Learning | GRU | CampusX,2023-10-05,10099,586,0,60,Oct
22,CampusX DSMP 1.0 Course Review | Student Feedback,2023-09-30,12635,748,0,260,Sep
23,LSTM | Part 3 | Next Word Predictor Using | CampusX,2023-09-12,16593,615,0,64,Sep
24,LSTM Architecture | Part 2 | The How? | CampusX,2023-08-30,16074,784,0,127,Aug
25,LSTM | Long Short Term Memory | Part 1 | The What? | CampusX,2023-08-21,23552,1237,0,195,Aug
26,Gradient Boosting for Classification | Geometric Intuition | CampusX,2023-08-08,11998,368,0,46,Aug
27,Explore my Data Science Bookshelf | Must-Haves & Favorites | CampusX,2023-07-25,20025,1045,0,108,Jul
28,100K Special | My YouTube Journey | Huge Discount on DSMP,2023-07-18,12745,1421,0,614,Jul
29,Will Artificial Intelligence Take Your Job?| Will Your Job Survive? | Dangers of AI | CampusX,2023-07-11,10462,769,0,112,Jul
30,Probability vs Likelihood | Machine Learning Interview Question,2023-07-05,5167,202,0,18,Jul
31,Is Learning AI and Machine Learning Worth It? | My Simple Advice | CampusX,2023-07-02,20408,1096,0,98,Jul
32,Linear Algebra Roadmap for Machine Learning and Deep Learning | Complete Guide | CampusX,2023-06-29,11301,446,0,38,Jun
33,Statistics Roadmap for Data Science and Data Analysis | Complete Guide |  Full Resources | CampusX,2023-06-25,47916,1855,0,126,Jun
34,Mastering Probability for ML: Joint | Marginal | Conditional Probability and Bayes' Theorem,2023-06-23,8947,235,0,46,Jun
35,Master Probability in Data Science: The Ultimate Crash Course! | Part 1 | CampusX,2023-06-20,17302,470,0,45,Jun
36,ROC Curve in Machine Learning | ROC-AUC in Machine Learning Simplified | CampusX,2023-06-07,14788,562,0,56,Jun
37,What is Reducible Vs Irreducible Error in Machine Learning | Important Interview Question | CampusX,2023-05-26,6421,325,0,39,May
38,What is K Nearest Neighbors? | KNN Explained in Hindi | Simple Overview in 1 Video | CampusX,2023-05-23,22495,663,0,35,May
39,How to Showcase Relevant Experience as a Fresher in Data Science |  Pro Tips for Your Resume!,2023-05-19,9544,549,0,32,May
40,Session 55 - Feature Selection Part 2 | Wrapper Methods  | DSMP 2023,2023-05-14,9087,201,0,29,May
41,Session 54 - Feature Selection Part 1 | Filter Methods | Variance Threshold | Chi-Square | DSMP 2023,2023-05-11,16070,373,0,21,May
42,Session 53 - Session on Multicollinearity | DSMP 2023,2023-05-08,6965,245,0,21,May
43,DSMP 2023 May Schedule | CampusX Data Science Mentorship Program,2023-05-01,6866,162,0,41,May
44,Level Up Your Data Science Skills with ChatGPT | Unlock the Secrets of AI-Assisted Learning,2023-04-20,19823,888,0,51,Apr
45,Session 50 - Multiple Linear Regression | DSMP 2023,2023-04-20,11020,279,0,11,Apr
46,Simple Linear Regression | Lecture 49 | DSMP 2023,2023-04-18,20658,451,0,39,Apr
47,Introduction to Machine Learning,2023-04-17,19089,548,0,24,Apr
48,Supercharge Your ML Journey: Mastering Vectors in Linear Algebra - Part 1,2023-04-12,19276,575,0,67,Apr
49,Session 46 - Hypothesis Testing Part 2 | p-values | t-tests | DSMP 2023,2023-04-06,19588,401,0,29,Apr
50,Session 45 - Hypothesis Testing Part 1 | DSMP 2023,2023-04-05,26262,624,0,33,Apr
51,April Schedule | CampusX Data Science Mentorship Program 2023,2023-04-03,8674,301,0,70,Apr
52,Session 44 - Confidence Intervals | DSMP 2023,2023-03-31,17147,450,0,33,Mar
53,Session 43 - Central Limit Theorem | DSMP 2023,2023-03-29,16929,506,0,24,Mar
54,Session 42 - Non-Gaussian Probability Distributions | DSMP 2023,2023-03-24,18082,373,0,33,Mar
55,Session 41 - Normal Distribution | DSMP 2023,2023-03-21,21399,537,0,32,Mar
56,"Session 40 - Probability Distribution Functions - PDF, PMF & CDF | DSMP 2023",2023-03-16,33624,700,0,50,Mar
57,Session 39 - Descriptive Statistics Part 2 | DSMP 2023,2023-03-13,27761,714,0,28,Mar
58,Session 38 - Descriptive Statistics Part 1 | DSMP 2023,2023-03-10,48567,1093,0,74,Mar
59,CampusX DSMP March Schedule | Dher Sara Statistics!!!,2023-03-05,8273,306,0,60,Mar
60,Session 37 (Cont..) - Window Functions Part 3 | SQL Tutorial,2023-03-02,8184,232,0,17,Mar
61,Session 37 - Window Functions Part 2 | SQL Tutorials,2023-03-01,11033,300,0,23,Mar
62,Session 36 - Window Functions in SQL | DSMP 2023,2023-02-28,30604,741,0,48,Feb
63,Session 35 - Subqueries in SQL | DSMP 2023,2023-02-23,23021,551,0,42,Feb
64,Session 34 - SQL Joins| DSMP 2023,2023-02-20,21055,488,0,18,Feb
65,Session 33 - SQL Grouping + Sorting | DSMP 2023,2023-02-15,18852,435,0,25,Feb
66,Session 32 - SQL DML Commands | DSMP 2023,2023-02-14,21328,425,0,19,Feb
67,Session 31 - SQL DDL Commands | DSMP 2023,2023-02-08,25520,549,0,32,Feb
68,Session 30 - Database Fundamentals | DSMP 2022-23,2023-02-06,26333,685,0,33,Feb
69,Session 29 - Exploratory Data Analysis | Data Analysis Process | DSMP 2022-23,2023-02-01,28483,688,0,23,Feb
70,Build a Data Scientist's Dream LinkedIn Profile with ChatGPT,2023-01-31,27508,1079,0,51,Jan
71,Month of SQL | CampusX DSMP 2023 | Feb Schedule,2023-01-31,8420,276,0,54,Jan
72,Session 28 - Data Assessing and Cleaning | DSMP 2022-23,2023-01-25,18525,510,0,23,Jan
73,Session 27 - Data Gathering | Data Analysis Process | DSMP 2023,2023-01-23,21684,502,0,55,Jan
74,Session 26 - Plotting using Seaborn Part 2 | DSMP 2022-23,2023-01-20,9922,282,0,10,Jan
75,Data Structures and Algorithms using Python | Mega Video | DSA in Python in 1 video,2023-01-17,429077,13945,0,465,Jan
76,Session 25 - Plotting using Seaborn | DSMP 2022-23,2023-01-16,16432,403,0,20,Jan
77,Session 24 - Advanced Matplotlib | DSMP 2022-23,2023-01-11,18048,448,0,14,Jan
78,How to master programming as a beginner | A complete guide for non-techies,2023-01-10,5414,288,0,37,Jan
79,Session 23 - Plotting using Matplotlib | DSMP 2022-23,2023-01-09,24972,622,0,14,Jan
80,Talking Data Science with Pranjal Yadav | Staff Data Scientist Razorpay,2023-01-08,11766,508,0,42,Jan
81,Session 22 - Vectorized String Operations | DateTime in Pandas | Pivot Table | DSMP 2022-23,2023-01-05,12580,334,0,15,Jan
82,Session 21 - MultiIndex Series and DataFrames | DSMP 2022-23,2023-01-03,12079,342,0,17,Jan
83,CampusX DSMP 2023 January Schedule,2023-01-02,7189,239,0,79,Jan
84,"Session 20 - Merging, Joining & Concatenating | DSMP 2022-23",2022-12-21,15576,380,0,24,Dec
85,Session 19 - GroupBy Object in Pandas | Data Science Mentorship Program (DSMP) 2022-23,2022-12-20,21995,498,0,19,Dec
86,Problems with RNN | 100 Days of Deep Learning,2022-12-19,14202,543,0,137,Dec
87,Session 18 - Important DataFrame Methods | Data Science Mentorship Program (DSMP) 2022-23,2022-12-15,20542,500,0,10,Dec
88,Session 17 - Pandas DataFrame | Data Science Mentorship Program (DSMP) 2022-23 | Free Session,2022-12-14,25966,580,0,23,Dec
89,Important Series Methods | Supplementary Session | DSMP 2022-23,2022-12-14,9424,353,0,19,Dec
90,Session 16 - Pandas Series| Data Science Mentorship Program (DSMP) 2022-23 | Free Session,2022-12-13,30866,763,0,39,Dec
91,Session 15 - Numpy Tricks | Data Science Mentorship Program (DSMP) 2022-23 | Free Session,2022-12-08,18323,464,0,30,Dec
92,Session 14 - Advanced Numpy | Data Science Mentorship Program (DSMP) 2022-23 | Free Session,2022-12-08,25313,642,0,30,Dec
93,Feedback Form for November | Data Science Mentorship Program(DSMP) 2022-23,2022-12-07,2244,61,0,14,Dec
94,Session 13 - Numpy Fundamentals | Data Science Mentorship Program (DSMP) 2022-23 | Free Session,2022-12-06,43215,1021,0,50,Dec
95,Resume Building for Data Scientist | Career Pe Charcha | DSMP 2022-23,2022-12-05,17998,820,0,25,Dec
96,How Backpropagation works in RNN | Backpropagation Through Time,2022-12-01,15327,637,0,66,Dec
97,Schedule for December + Program Improvements | CampusX Data Science Mentorship Program (DSMP 2022),2022-12-01,6590,219,0,76,Dec
98,Session 12 - Decorators & Namespaces | DSMP 2022 - 23,2022-12-01,15757,443,0,28,Dec
99,Session 11 - Exception Handling & Modules and Packages | DSMP 2022 - 23,2022-11-30,16275,737,0,30,Nov
100,Session 10 - File Handling + Serialization & Deserialization | DSMP 2022 - 23,2022-11-28,21444,597,0,29,Nov
101,What is Abstraction | OOP Concept | Python,2022-11-26,13212,378,0,20,Nov
102,New Website Launch | DSMP 2022-23,2022-11-25,7532,225,0,59,Nov
103,OOP Part 3 | Inheritance & Polymorphism | Static | Data Science Mentorship Program(DSMP) 2022-23,2022-11-24,30291,729,0,50,Nov
104,OOP Part 2 | Encapsulation & Static Keyword | Static | Data Science Mentorship Program(DSMP) 2022-23,2022-11-23,38402,912,0,76,Nov
105,OOP Part 1 | Class & Object | Data Science Mentorship Program(DSMP) 2022-23,2022-11-21,61909,1909,0,112,Nov
106,Interview with Shyam | Fresher Data Scientist | 11+ LPA,2022-11-21,29887,1204,0,48,Nov
107,Types of RNN | Many to Many | One to Many | Many to One RNNs,2022-11-17,13505,617,0,36,Nov
108,Session 6 - Functions in Python | Data Science Mentorship Program(DSMP) 2022-23,2022-11-16,38742,907,0,58,Nov
109,Session 5 - Tuples + Sets + Dictionary | Data Science Mentorship Program(DSMP) 2022-23,2022-11-15,25893,716,0,26,Nov
110,Session 4 - Lists in Python | Data Science Mentorship Program(DSMP) 2022-23,2022-11-14,30902,631,0,22,Nov
111,How to Build a Portfolio Website for Data Science,2022-11-10,27624,960,0,54,Nov
112,Programming Problems on Strings | Session 3 Supplementary Session,2022-11-10,17155,356,0,33,Nov
113,Session 3 - Python Strings  | CampusX Data Science Mentorship Program | 9th Nov 2022,2022-11-09,42889,724,0,30,Nov
114,RNN Sentiment Analysis | RNN Code Example in Keras | CampusX,2022-11-09,25238,819,0,63,Nov
115,Session 2 - Operators + If-Else + Loops  | CampusX Data Science Mentorship Program | 8th Nov 2022,2022-11-08,51233,927,0,45,Nov
116,Session 1 - Python Fundamentals | CampusX Data Science Mentorship Program | 7th Nov 2022,2022-11-07,119925,1925,0,102,Nov
117,CampusX Data Science Mentorship Program Orientation Session,2022-11-03,8648,411,0,40,Nov
118,Recurrent Neural Network | Forward Propagation | Architecture,2022-10-29,30747,1101,0,93,Oct
119,CampusX Data Science Mentorship Program Live QnA,2022-10-26,10154,497,0,44,Oct
120,Why RNNs are needed | RNNs Vs ANNs | RNN Part 1,2022-10-23,22608,855,0,66,Oct
121,Top 10 Computer Vision Projects | Best Computer Vision Projects using OpenCV & CNN,2022-10-17,17216,613,0,36,Oct
122,Keras Functional Model | How to build non-linear Neural Networks?,2022-10-14,12491,625,0,37,Oct
123,What is Transfer Learning? Transfer Learning in Keras | Fine Tuning Vs Feature Extraction,2022-10-10,40566,1485,0,114,Oct
124,What does a CNN see? | Visualizing CNN Filters and Feature Maps | CampusX,2022-10-06,14837,726,0,35,Oct
125,Pretrained models in CNN | ImageNET Dataset | ILSVRC | Keras Code,2022-10-03,22163,822,0,64,Oct
126,Top 3 books for Machine Learning,2022-09-24,54474,4297,0,34,Sep
127,Is DSA Required to learn Data Science?,2022-09-23,59915,3929,0,66,Sep
128,Data Augmentation in Deep Learning | CNN,2022-09-21,23294,847,0,60,Sep
129,Cat Vs Dog Image Classification Project | Deep Learning Project | CNN Project,2022-09-19,97485,1987,0,145,Sep
130,"CNN Backpropagation Part 2 | How Backpropagation works on Convolution, Maxpooling and Flatten Layers",2022-09-15,12272,825,0,57,Sep
131,Why You Need To learn AI And Machine Learning Right Now?,2022-09-13,39047,2029,0,198,Sep
132,Backpropagation in CNN | Part 1 | Deep Learning,2022-09-10,19286,1186,0,55,Sep
133,Comparing CNN Vs ANN  | CampusX,2022-09-08,17012,861,0,60,Sep
134,Software Engineer to  Data Scientist | TheMathCompany | 10+ LPA Package,2022-09-06,9253,377,0,28,Sep
135,CNN Architecture | LeNet -5 Architecture,2022-09-04,26644,990,0,41,Sep
136,Pooling Layer in CNN | MaxPooling in Convolutional Neural Network,2022-09-02,24336,1096,0,40,Sep
137,Should I Start A Mentorship Program | Need Suggestions,2022-08-31,3256,350,0,197,Aug
138,How to learn difficult Data Science concepts | My Learning Method,2022-08-29,8931,671,0,44,Aug
139,Padding & Strides in CNN | CNN Lecture 4 | Deep Learning,2022-08-27,21673,974,0,40,Aug
140,Google SQL Interview Question | User Session Histogram,2022-08-25,11072,526,0,28,Aug
141,CNN Part 3 | Convolution Operation,2022-08-23,24213,1140,0,57,Aug
142,Data Science QnA | 21 August 2022,2022-08-21,5811,446,0,25,Aug
143,CNN Vs Visual Cortex | The Famous Cat Experiment | History of CNN,2022-08-19,17240,888,0,31,Aug
144,What is Convolutional Neural Network (CNN) | CNN Intution,2022-08-17,39537,1476,0,63,Aug
145,Keras Tuner | Hyperparameter Tuning a Neural Network,2022-08-11,20881,837,0,70,Aug
146,How I would learn Data Science( If I had to start over! ) | Don't Make these Mistakes in 2024,2022-08-09,36571,2362,0,199,Aug
147,Adam Optimizer Explained in Detail with Animations | Optimizers in Deep Learning Part 5,2022-08-07,27013,771,0,31,Aug
148,RMSProp Explained in Detail with Animations | Optimizers in Deep Learning Part 5,2022-08-05,11554,573,0,17,Aug
149,AdaGrad Explained in Detail with Animations | Optimizers in Deep Learning Part 4,2022-08-03,13181,661,0,40,Aug
150,How to Talk About Previous Data Science Projects in Interviews | Project Based Questions  Interview,2022-08-01,20918,1222,0,41,Aug
151,Design the Best Reward Function | Reinforcement Learning Part-6,2022-07-28,4693,92,0,8,Jul
152,Nesterov Accelerated Gradient (NAG) Explained in Detail | Animations | Optimizers in Deep Learning,2022-07-26,13874,734,0,25,Jul
153,How to Save Yourself from Ed-Tech Scams?,2022-07-24,31105,1558,0,487,Jul
154,Deep Learning meets Reinforcement Learning | Reinforcement Learning Part-5,2022-07-22,1777,36,0,6,Jul
155,SGD with Momentum Explained in Detail with Animations | Optimizers in Deep Learning Part 2,2022-07-20,17457,1050,0,51,Jul
156,Exponentially Weighted Moving Average or Exponential Weighted Average | Deep Learning,2022-07-18,17137,777,0,43,Jul
157,Introducing Neural Networks into RL | Reinforcement Learning Part-4,2022-07-16,1881,45,0,3,Jul
158,Fresher Success Story | Data Analyst at Tiger Analytics | Cracked Fractal Analytics,2022-07-14,15457,503,0,36,Jul
159,How to  train our first Reinforcement Learning agent! | Reinforcement Learning Part-3,2022-07-12,2947,74,0,10,Jul
160,How do RL agents really learn? | Reinforcement Learning Part-2,2022-07-08,3858,85,0,11,Jul
161,Optimizers in Deep Learning | Part 1 | Complete Deep Learning Course,2022-07-06,25884,928,0,43,Jul
162,What is Reinforcement Learning? | Reinforcement Learning Part-1 in Hindi | CampusX,2022-07-04,9314,215,0,21,Jul
163,Batch Normalization in Deep Learning | Batch Learning in Keras,2022-07-01,25929,1090,0,68,Jul
164,Why Multicollinearity is Bad? What is Multicollinearity? How to detect and remove Multicollinearity,2022-06-29,10753,557,0,35,Jun
165,What is Online Machine Learning? How is it different from Offline ML? List some of itâ€™s applications,2022-06-29,3250,95,0,4,Jun
166,Difference between convex & non-convex cost function; what happens when cost function is non-convex?,2022-06-29,5067,137,0,9,Jun
167,Give an example of when False positive is more crucial than false negative and vice versa,2022-06-29,3526,109,0,5,Jun
168,Why KNN is known as a lazy learning technique?,2022-06-29,4829,109,0,12,Jun
169,How do you decide when to use deep learning or machine learning for a project?,2022-06-29,3877,133,0,8,Jun
170,What are the main differences between Structured and Unstructured Data?,2022-06-29,2414,81,0,1,Jun
171,What are the main differences between Bagging and Boosting?,2022-06-29,2288,83,0,4,Jun
172,"Imagine you are working with a laptop of 2GB RAM, how would you process a dataset of 10GB? | OOC ML",2022-06-29,4649,236,0,15,Jun
173,Give an example where the median is a better measure than the mean.,2022-06-29,2166,70,0,5,Jun
174,What do you mean by the unreasonable effectiveness of data?,2022-06-29,1954,46,0,1,Jun
175,What do you mean by semi supervised learning? | Interview Question,2022-06-29,8625,171,0,3,Jun
176,What is No Free Lunch Theorem in Machine Learning? | Interview Question,2022-06-29,2658,71,0,1,Jun
177,Why is 'NaÃ¯ve' Bayes naÃ¯ve? | Interview Question,2022-06-29,3168,103,0,4,Jun
178,What is an OOB error and how is it useful? | Interview Question,2022-06-29,2473,57,0,4,Jun
179,Why Logistic Regression is called Regression? | ML Interview Question,2022-06-29,3600,115,0,2,Jun
180,In what scenario decision tree should be preferred over random forest? | ML Interview Question,2022-06-29,2405,66,0,2,Jun
181,What is the difference between Parametric & Non-Parametric ML Algorithms?,2022-06-29,11875,331,0,16,Jun
182,Good College Vs Bad College | Choro Kaam Ki Baatein,2022-06-27,2712,256,0,32,Jun
183,Xavier/Glorat And He Weight Initialization in Deep Learning,2022-06-25,11693,701,0,24,Jun
184,Weight Initialization Techniques | What not to do? | Deep Learning,2022-06-23,16192,795,0,51,Jun
185,What are the main Assumptions of Linear Regression? | Top 5 Assumptions of Linear Regression,2022-06-20,30239,1380,0,81,Jun
186,100 Most Common Interview Questions on Machine Learning | With Solutions,2022-06-17,21046,748,0,38,Jun
187,Best Service Based Company In Data Science | Product Vs Service Based Company | Salary Details,2022-06-15,12986,841,0,61,Jun
188,Relu Variants Explained | Leaky Relu | Parametric Relu | Elu | Selu | Activation Functions Part 2,2022-06-09,14857,710,0,32,Jun
189,Data Science Interview Preparation Part 1 | Types of Questions Asked | CampusX Live,2022-06-08,14131,672,0,26,Jun
190,100 Python Problems with Solutions for Beginners | Most Common Python Programs for Practice,2022-06-05,48806,1730,0,77,Jun
191,How Uber uses Machine Learning | Uber Machine Learning Case Study,2022-06-03,9842,564,0,55,Jun
192,"Activation Functions in Deep Learning | Sigmoid, Tanh and Relu Activation Function",2022-06-01,31014,1113,0,43,Jun
193,Breed | Episode 2 | Choro Kaam Ki Baatien,2022-05-30,4643,496,0,100,May
194,Book Recommender System | Machine Learning Project | Collaborative Filtering Based Recommender,2022-05-27,188863,3746,0,274,May
195,News Application in Python | Inshorts Clone using Python | GUI + OOP + API Tutorial in Python,2022-05-24,16214,503,0,63,May
196,How Swiggy uses Machine Learning | Case Study | CampusX,2022-05-21,19537,1308,0,193,May
197,Regularization in Deep Learning | L2 Regularization in ANN | L1 Regularization | Weight Decay in ANN,2022-05-20,23740,952,0,38,May
198,Calculator GUI Application using Python | Tkinter Tutorial | Python Mini Project,2022-05-18,17224,408,0,20,May
199,SQL Case  Study | Swiggy Case Study | CampusX Live,2022-05-18,42836,1385,0,72,May
200,Wallpaper Viewer Application using Python | Tkinter GUI Tutorial | Mini Project,2022-05-16,7500,215,0,21,May
201,Build GUIs Using Python | Python Tkinter in 30 mins | Login App GUI,2022-05-16,33334,915,0,44,May
202,Dropout Layers in ANN | Code Example | Regression | Classification,2022-05-15,11267,760,0,22,May
203,F*ck Convention | Choro Kaam Ki Baatein | CampusX Podcast,2022-05-14,6641,755,0,107,May
204,SQL Interview Question Part 2 | CampusX Live,2022-05-14,17572,681,0,28,May
205,Dropout Layer in Deep Learning | Dropouts in ANN | End to End Deep Learning,2022-05-12,17362,914,0,27,May
206,Top 10 most common SQL queries | SQL Interview Questions For Data Science | CampusX Live 1,2022-05-11,46574,1504,0,86,May
207,20K Subscribers Milestone | Channel Updates,2022-05-07,1578,271,0,77,May
208,Data Scaling in Neural Network | Feature Scaling in ANN | End to End Deep Learning Course,2022-05-05,12352,767,0,32,May
209,Early Stopping In Neural Networks | End to End Deep Learning Course,2022-05-02,18350,771,0,41,May
210,How to Improve the Performance of a Neural Network,2022-04-29,16809,1015,0,45,Apr
211,Join My Discord Community | CampusX Discord Community,2022-04-25,3102,235,0,47,Apr
212,Vanishing Gradient Problem in ANN | Exploding Gradient Problem | Code Example,2022-04-17,21243,1000,0,46,Apr
213,Gradient Descent in Neural Networks | Batch vs Stochastics vs Mini Batch Gradient Descent,2022-04-14,27390,1154,0,51,Apr
214,The Story of My YouTube Failure | How I failed on YouTube | An Analytical Study using Python,2022-04-11,6777,717,0,254,Apr
215,MLP Memoization | Complete Deep Learning Playlist,2022-04-09,14088,883,0,52,Apr
216,Can you solve this puzzle?,2022-04-07,2049,144,0,58,Apr
217,Backpropagation Part 3 | The Why | Complete Deep Learning Playlist,2022-04-05,15287,940,0,57,Apr
218,Backpropagation Part 2 | The How | Complete Deep Learning Playlist,2022-04-03,23568,903,0,58,Apr
